scenario,sample,replicate,regolith_pct,vermicompost_pct,mycorrhiza,light_hours,dark_days_continuous,radiation_msv_day,gravity_g,nitrogen_mg_kg,phosphorus_mg_kg,potassium_mg_kg,ph,perchlorate_ppm,glass_fines_pct,transpiration_index,xylem_geometry_risk,dark_lethality_index,xylem_embolism_risk,toxicity_index,dry_root_g,dry_shoot_g,seed_weight_g,slakes,biomass_g,total_seed,height_cm,survival,mortality_probability
simulated_lunar_1,Control+,6,0.0,100.0,1.0,12.0,3.0,0.51063,0.16667,152.92296,42.7305,227.3668,5.94482,18.39466,3.61209,1.07554,0.38042,0.10088,0.6564,0.17935,6.87,12.72,3.4,0.44,0.686,1.2561,1.3924,0.0531,0.4526
simulated_lunar_2,Control+,6,0.0,100.0,1.0,16.0,3.0,1.04186,0.16667,148.75285,40.81167,216.18113,6.0719,16.72722,6.00714,1.33232,0.4586,0.13296,0.82061,0.24628,6.87,12.72,3.4,0.44,14.9543,19.8371,30.8735,1.0,0.5301
simulated_lunar_3,Control+,6,0.0,100.0,1.0,8.0,7.0,0.38424,0.16667,129.94699,43.43249,222.45775,6.22979,0.0,3.17984,1.07753,0.24733,0.5,0.56317,0.09716,6.87,12.72,3.4,0.44,8.6447,7.8692,19.5314,1.0,0.7002
simulated_lunar_4,Control+,6,0.0,100.0,1.0,4.0,3.0,0.89963,0.16667,133.23794,43.88563,224.24266,6.01049,3.46471,5.30978,1.35924,0.41458,0.05665,0.79572,0.17524,6.87,12.72,3.4,0.44,6.5722,8.3325,20.0107,1.0,0.4548
simulated_lunar_5,Control+,6,0.0,100.0,1.0,8.0,14.0,1.99002,0.16667,143.28656,38.64117,188.49618,6.27262,1.57979,2.55597,1.49369,0.80086,0.98757,1.0,0.08402,6.87,12.72,3.4,0.44,0.0,0.0,0.0785,0.0063,0.98
simulated_lunar_6,Control+,6,0.0,100.0,1.0,8.0,3.0,0.45213,0.16667,139.5668,43.63723,204.29981,5.75154,9.13222,1.81216,1.14432,0.23177,0.07586,0.57417,0.08962,6.87,12.72,3.4,0.44,13.0669,21.0129,26.4922,1.0,0.3961
simulated_lunar_7,Control+,6,0.0,100.0,1.0,0.0,3.0,1.57525,0.16667,136.02107,47.00034,212.99546,5.8019,44.68765,3.25563,1.21561,0.29467,0.04209,0.64572,0.26706,6.87,12.72,3.4,0.44,0.3278,0.3988,0.8954,0.0516,0.4251
observed_earth_simulant,Control+,7,0.0,100.0,1.0,12.0,0.5,0.02,1.0,139.1357,47.24679,237.18565,5.89043,0.0,0.19631,1.02892,0.27871,0.02298,0.0,0.006,6.31,13.75,4.71,0.51,20.06,40.0,17.6,1.0,0.0
simulated_lunar_1,Control+,7,0.0,100.0,1.0,8.0,10.0,0.77426,0.16667,146.02278,48.70235,225.80186,5.72214,18.0832,1.05731,1.24701,0.39522,0.86704,0.73508,0.10012,6.31,13.75,4.71,0.51,0.1821,0.2277,0.605,0.0797,0.98
simulated_lunar_2,Control+,7,0.0,100.0,1.0,0.0,7.0,1.92037,0.16667,127.65256,46.90522,208.15867,5.94899,6.77686,0.0,1.22958,0.2487,0.34865,0.61528,0.02541,6.31,13.75,4.71,0.51,0.3335,0.3712,0.6865,0.0713,0.5899
simulated_lunar_3,Control+,7,0.0,100.0,1.0,4.0,10.0,1.26664,0.16667,150.69615,46.45313,218.55274,6.14727,36.95698,5.00705,1.33761,0.47668,0.82671,0.8376,0.29158,6.31,13.75,4.71,0.51,0.0,0.0,0.2582,0.0441,0.98
simulated_lunar_4,Control+,7,0.0,100.0,1.0,12.0,14.0,1.76141,0.16667,145.39248,43.94817,229.94944,5.87048,0.0,3.43358,1.09342,0.7852,0.99087,0.95202,0.10491,6.31,13.75,4.71,0.51,0.0,0.0,0.1008,0.0146,0.98
simulated_lunar_5,Control+,7,0.0,100.0,1.0,0.0,3.0,1.28439,0.16667,157.59914,44.40513,219.7251,6.05112,14.01031,4.78886,1.22945,0.41304,0.04209,0.74182,0.19886,6.31,13.75,4.71,0.51,0.1367,0.1411,0.1705,0.0157,0.4355
simulated_lunar_6,Control+,7,0.0,100.0,1.0,16.0,3.0,1.25489,0.16667,153.32899,51.2363,222.96408,6.16172,14.49831,0.0,1.4273,0.81893,0.13296,1.0,0.05437,6.31,13.75,4.71,0.51,0.0553,0.0951,0.055,0.0036,0.5366
simulated_lunar_7,Control+,7,0.0,100.0,1.0,16.0,14.0,1.47441,0.16667,135.39013,51.17673,217.75911,5.64504,12.33241,2.01807,1.42775,0.80551,0.99331,1.0,0.10791,6.31,13.75,4.71,0.51,0.0908,0.0629,0.2667,0.0363,0.98
observed_earth_simulant,Control+,8,0.0,100.0,1.0,12.0,0.5,0.02,1.0,139.44294,46.4041,239.85421,6.1673,0.0,0.0,1.16183,0.27526,0.02298,0.0,0.0,5.88,12.13,3.11,0.47,18.01,22.0,20.1,1.0,0.0
simulated_lunar_1,Control+,8,0.0,100.0,1.0,12.0,7.0,1.74526,0.16667,140.22617,44.8664,213.31836,6.02212,10.66858,2.84325,1.7123,0.84812,0.5775,1.0,0.12688,5.88,12.13,3.11,0.47,0.3295,0.2326,0.8487,0.077,0.8712
simulated_lunar_2,Control+,8,0.0,100.0,1.0,8.0,7.0,1.74993,0.16667,150.03106,41.39262,213.15726,5.7482,18.09372,7.26949,1.36295,0.57908,0.5,0.9332,0.28997,5.88,12.13,3.11,0.47,1.0128,0.4675,6.8693,1.0,0.8313
simulated_lunar_3,Control+,8,0.0,100.0,1.0,12.0,14.0,0.84292,0.16667,147.81031,45.07348,219.26707,6.03689,8.54024,4.01784,1.35599,0.62136,0.99087,0.96471,0.15479,5.88,12.13,3.11,0.47,0.0259,0.012,0.1856,0.0231,0.98
simulated_lunar_4,Control+,8,0.0,100.0,1.0,16.0,3.0,0.54446,0.16667,144.72711,47.38093,219.62048,6.17463,16.51692,1.75852,1.37512,0.65185,0.13296,0.99949,0.11567,5.88,12.13,3.11,0.47,0.0376,0.055,0.0605,0.0032,0.5487
simulated_lunar_5,Control+,8,0.0,100.0,1.0,16.0,14.0,0.58299,0.16667,147.43701,43.97578,222.54738,5.84679,2.83839,4.22511,1.43277,0.58049,0.99331,0.96759,0.13974,5.88,12.13,3.11,0.47,0.1737,0.1212,0.345,0.0392,0.98
simulated_lunar_6,Control+,8,0.0,100.0,1.0,8.0,3.0,2.16181,0.16667,135.02934,40.36832,202.24627,5.87286,0.0,4.73733,1.33403,0.9253,0.07586,1.0,0.14475,5.88,12.13,3.11,0.47,5.2286,3.7098,11.2106,1.0,0.5136
simulated_lunar_7,Control+,8,0.0,100.0,1.0,16.0,14.0,0.62397,0.16667,136.33501,41.97643,216.67816,5.82495,16.50479,2.04064,1.3823,0.2142,0.99331,0.63784,0.12425,5.88,12.13,3.11,0.47,0.0822,0.0604,0.153,0.0121,0.98
observed_earth_simulant,LRS25-,1,25.0,75.0,0.0,12.0,0.5,0.02,1.0,106.3829,36.06564,178.46977,6.94618,0.0,0.9107,1.02645,0.27201,0.02298,0.0,0.07283,2.1,4.11,0.0,0.2,6.210000000000001,0.0,2.5,1.0,0.0
simulated_lunar_1,LRS25-,1,25.0,75.0,0.0,12.0,14.0,0.89613,0.16667,101.65993,30.57078,180.94125,6.87247,40.20212,5.94008,0.89016,0.68248,0.99087,0.7733,0.37726,2.1,4.11,0.0,0.2,0.0,0.0,0.0436,0.0488,0.98
simulated_lunar_2,LRS25-,1,25.0,75.0,0.0,4.0,10.0,1.76523,0.16667,94.07563,23.09021,143.81334,6.99079,0.0,3.76776,1.14874,0.63011,0.82671,0.86893,0.16013,2.1,4.11,0.0,0.2,0.0,0.0,0.068,0.0717,0.98
simulated_lunar_3,LRS25-,1,25.0,75.0,0.0,4.0,10.0,0.37993,0.16667,91.01322,28.66966,156.15072,7.23449,19.85186,5.47679,1.05011,0.82096,0.82671,0.95252,0.28679,2.1,4.11,0.0,0.2,0.0,0.0,0.0423,0.045,0.98
simulated_lunar_4,LRS25-,1,25.0,75.0,0.0,4.0,7.0,0.39645,0.16667,102.23598,26.29604,158.09351,7.06637,21.59726,7.47995,1.13398,0.92339,0.4225,1.0,0.35454,2.1,4.11,0.0,0.2,0.0,0.0,0.976,1.0,0.8051
simulated_lunar_5,LRS25-,1,25.0,75.0,0.0,12.0,14.0,1.53602,0.16667,93.54958,27.59167,147.63149,6.95959,34.01883,5.84124,0.91517,0.37417,0.99087,0.58959,0.35105,2.1,4.11,0.0,0.2,0.0,0.0,0.0584,0.068,0.98
simulated_lunar_6,LRS25-,1,25.0,75.0,0.0,4.0,3.0,2.19463,0.16667,90.03552,29.61562,185.80161,6.77652,54.85901,3.66594,1.40781,0.28048,0.05665,0.70208,0.36274,2.1,4.11,0.0,0.2,0.0,0.0,0.8904,1.0,0.4689
simulated_lunar_7,LRS25-,1,25.0,75.0,0.0,12.0,7.0,1.91701,0.16667,98.10316,25.57595,159.06756,7.0655,34.67055,4.00861,1.21044,0.33965,0.5775,0.67817,0.2975,2.1,4.11,0.0,0.2,0.0,0.0,0.0504,0.0633,0.8248
observed_earth_simulant,LRS25-,2,25.0,75.0,0.0,12.0,0.5,0.02,1.0,112.27612,29.14916,190.72787,6.82215,0.0,1.31801,1.04627,0.24956,0.02298,0.0,0.08527,3.44,6.39,0.0,0.26,9.83,0.0,27.0,1.0,0.0
simulated_lunar_1,LRS25-,2,25.0,75.0,0.0,4.0,14.0,0.91484,0.16667,97.57631,29.83199,159.32513,7.30845,40.62883,5.01703,1.17037,0.69026,0.98309,0.92452,0.35066,3.44,6.39,0.0,0.26,0.0,0.0,0.0459,0.005,0.98
simulated_lunar_2,LRS25-,2,25.0,75.0,0.0,16.0,10.0,1.61155,0.16667,96.30422,22.91101,135.6737,6.87988,36.56356,7.69974,1.12065,0.54123,0.92414,0.79058,0.41738,3.44,6.39,0.0,0.26,0.0,0.0,10.6285,1.0,0.98
simulated_lunar_3,LRS25-,2,25.0,75.0,0.0,16.0,7.0,1.74753,0.16667,92.93609,23.84258,160.90906,6.73749,16.18935,5.16623,1.25121,0.82158,0.65135,1.0,0.26357,3.44,6.39,0.0,0.26,0.0,0.0,0.1693,0.0162,0.9517
simulated_lunar_4,LRS25-,2,25.0,75.0,0.0,12.0,3.0,1.59256,0.16667,95.56073,26.78278,143.89737,7.14982,20.22801,6.4996,1.2078,0.51157,0.10088,0.80804,0.31945,3.44,6.39,0.0,0.26,1.2416,0.0,11.0324,1.0,0.5185
simulated_lunar_5,LRS25-,2,25.0,75.0,0.0,0.0,14.0,0.78347,0.16667,103.10784,27.53985,168.79533,7.068,23.88999,3.12383,1.52951,0.9396,0.97702,1.0,0.23004,3.44,6.39,0.0,0.26,0.0,0.0,0.227,0.023,0.98
simulated_lunar_6,LRS25-,2,25.0,75.0,0.0,12.0,10.0,2.18643,0.16667,103.76757,23.02154,173.80454,7.13676,21.73741,4.29199,0.93328,0.60448,0.89912,0.74532,0.25766,3.44,6.39,0.0,0.26,0.0,0.0,0.2664,0.0278,0.98
simulated_lunar_7,LRS25-,2,25.0,75.0,0.0,4.0,3.0,1.73674,0.16667,106.33974,27.04925,155.06721,6.76883,21.90908,6.49381,1.07367,0.34136,0.05665,0.62814,0.32558,3.44,6.39,0.0,0.26,0.0,0.0,9.9363,1.0,0.4429
observed_earth_simulant,LRS25-,3,25.0,75.0,0.0,12.0,0.5,0.02,1.0,107.56874,28.97851,173.84363,7.01827,0.0,0.88089,1.07346,0.29143,0.02298,0.0,0.07192,2.37,5.09,0.0,0.23,7.46,0.0,23.0,1.0,0.0
simulated_lunar_1,LRS25-,3,25.0,75.0,0.0,0.0,7.0,1.70703,0.16667,101.90707,25.70821,162.55297,7.05654,56.61278,7.7207,1.24901,0.41695,0.34865,0.7528,0.49321,2.37,5.09,0.0,0.23,0.0,0.0,8.3188,1.0,0.7179
simulated_lunar_2,LRS25-,3,25.0,75.0,0.0,8.0,7.0,0.87335,0.16667,104.80548,30.95321,159.33572,7.1413,60.88042,7.32058,1.46352,0.66949,0.5,1.0,0.49699,2.37,5.09,0.0,0.23,0.0,0.0,0.3366,0.0396,0.8894
simulated_lunar_3,LRS25-,3,25.0,75.0,0.0,16.0,10.0,1.62299,0.16667,85.41489,25.37609,163.02275,7.0753,45.16665,5.58106,1.30342,0.84316,0.92414,1.0,0.38491,2.37,5.09,0.0,0.23,0.0,0.0,0.2925,0.037,0.98
simulated_lunar_4,LRS25-,3,25.0,75.0,0.0,16.0,7.0,1.038,0.16667,97.27519,30.18488,169.03155,7.0792,17.29421,7.2943,1.20302,0.48288,0.65135,0.78412,0.33273,2.37,5.09,0.0,0.23,0.001,0.0,0.0286,0.0032,0.9115
simulated_lunar_5,LRS25-,3,25.0,75.0,0.0,16.0,7.0,1.21085,0.16667,95.21479,29.34156,149.6036,7.00889,28.5934,10.22275,0.99787,0.28799,0.65135,0.56379,0.46459,2.37,5.09,0.0,0.23,0.165,0.0,8.6789,1.0,0.8828
simulated_lunar_6,LRS25-,3,25.0,75.0,0.0,4.0,14.0,2.03874,0.16667,84.40536,25.83325,146.65313,7.14336,22.33974,6.70466,0.96458,0.27396,0.98309,0.5428,0.33364,2.37,5.09,0.0,0.23,0.0,0.0,9.0575,1.0,0.98
simulated_lunar_7,LRS25-,3,25.0,75.0,0.0,8.0,10.0,1.08647,0.16667,96.74527,25.5399,154.25098,7.06958,37.88792,7.91329,1.08062,0.51318,0.86704,0.75234,0.42887,2.37,5.09,0.0,0.23,0.0,0.0,0.2135,0.0264,0.98
observed_earth_simulant,LRS25-,4,25.0,75.0,0.0,12.0,0.5,0.02,1.0,103.57091,29.99044,185.56645,7.17257,0.0,1.35028,0.98204,0.2985,0.02298,0.0,0.08626,3.61,6.89,0.0,0.26,10.5,0.0,19.2,1.0,0.0
simulated_lunar_1,LRS25-,4,25.0,75.0,0.0,4.0,10.0,0.6216,0.16667,95.78258,24.08736,170.50079,6.85032,26.18797,4.95882,1.51576,0.90889,0.82671,1.0,0.29472,3.61,6.89,0.0,0.26,0.0,0.0,0.381,0.0611,0.98
simulated_lunar_2,LRS25-,4,25.0,75.0,0.0,4.0,3.0,0.71557,0.16667,100.76793,26.48079,158.65644,6.67274,4.40513,8.00484,1.03734,0.2118,0.05665,0.52519,0.30611,3.61,6.89,0.0,0.26,1.3527,0.0,8.9627,1.0,0.4133
simulated_lunar_3,LRS25-,4,25.0,75.0,0.0,16.0,10.0,0.33257,0.16667,102.12961,23.35715,166.59717,6.56336,34.17922,6.06065,1.24473,0.59484,0.92414,0.88923,0.35836,3.61,6.89,0.0,0.26,0.0,0.0,0.1405,0.0214,0.98
simulated_lunar_4,LRS25-,4,25.0,75.0,0.0,16.0,7.0,2.18144,0.16667,101.70399,28.18816,175.50668,7.14304,12.59532,7.62324,0.93868,0.27013,0.65135,0.53133,0.32516,3.61,6.89,0.0,0.26,0.0117,0.0,0.2854,0.0442,0.8468
simulated_lunar_5,LRS25-,4,25.0,75.0,0.0,12.0,14.0,1.52532,0.16667,86.74013,34.70273,182.62283,6.90555,38.08875,4.79705,1.39987,0.62509,0.99087,0.98948,0.33441,3.61,6.89,0.0,0.26,0.0,0.0,0.5055,0.0739,0.98
simulated_lunar_6,LRS25-,4,25.0,75.0,0.0,0.0,7.0,2.06466,0.16667,90.36024,24.48223,185.64431,6.68962,17.0882,5.032,0.99852,0.2577,0.34865,0.54364,0.26284,3.61,6.89,0.0,0.26,0.0,0.0,0.1448,0.0192,0.6195
simulated_lunar_7,LRS25-,4,25.0,75.0,0.0,8.0,14.0,1.73566,0.16667,112.74171,34.40466,155.21383,6.74235,33.84097,5.39326,0.85769,0.45544,0.98757,0.6171,0.3367,3.61,6.89,0.0,0.26,0.0,0.0,0.4459,0.0764,0.98
observed_earth_simulant,LRS25-,5,25.0,75.0,0.0,12.0,0.5,0.02,1.0,109.94218,31.58521,211.03649,6.83766,0.0,1.01383,1.05949,0.32875,0.02298,0.0,0.07598,1.5,2.07,0.0,0.36,3.57,0.0,18.8,1.0,0.0
simulated_lunar_1,LRS25-,5,25.0,75.0,0.0,12.0,3.0,1.76712,0.16667,94.42529,26.8652,166.16284,7.11642,34.17756,2.94801,1.39068,0.31571,0.10088,0.72562,0.26324,1.5,2.07,0.0,0.36,0.0165,0.0,0.2534,0.0289,0.4867
simulated_lunar_2,LRS25-,5,25.0,75.0,0.0,8.0,3.0,0.55176,0.16667,100.84722,30.52452,145.93128,6.90594,42.15792,5.80707,1.37764,0.44332,0.07586,0.82713,0.38053,1.5,2.07,0.0,0.36,0.0102,0.0,0.2131,0.0233,0.5175
simulated_lunar_3,LRS25-,5,25.0,75.0,0.0,4.0,7.0,1.6021,0.16667,103.46194,28.65042,165.80873,6.96204,37.06113,6.2989,1.30052,0.42481,0.4225,0.78006,0.37645,1.5,2.07,0.0,0.36,0.0,0.0,7.0344,1.0,0.7545
simulated_lunar_4,LRS25-,5,25.0,75.0,0.0,12.0,7.0,1.16994,0.16667,98.11438,27.76296,139.236,7.209,8.94444,8.2278,0.99728,0.81765,0.5775,0.9198,0.32995,1.5,2.07,0.0,0.36,0.0,0.0,0.3322,0.0476,0.8917
simulated_lunar_5,LRS25-,5,25.0,75.0,0.0,12.0,10.0,0.63751,0.16667,100.61452,25.38918,163.77826,6.94813,9.5194,8.91936,1.1118,0.44441,0.89912,0.71673,0.35323,1.5,2.07,0.0,0.36,0.0,0.0,0.3797,0.0629,0.98
simulated_lunar_6,LRS25-,5,25.0,75.0,0.0,16.0,7.0,1.59525,0.16667,78.6886,25.20307,139.2065,7.04998,18.48933,6.12597,1.05802,0.79674,0.65135,0.94018,0.30152,1.5,2.07,0.0,0.36,0.0,0.0,0.2762,0.0399,0.9443
simulated_lunar_7,LRS25-,5,25.0,75.0,0.0,12.0,14.0,0.44053,0.16667,83.65327,30.92113,156.6995,6.78197,38.96328,8.19229,1.04257,0.60773,0.99087,0.8007,0.44143,1.5,2.07,0.0,0.36,0.0,0.0,0.1978,0.0288,0.98
observed_earth_simulant,LRS25-,6,25.0,75.0,0.0,12.0,0.5,0.02,1.0,112.89409,34.24243,182.14071,6.85603,0.0,0.95463,0.98559,0.37738,0.02298,0.0,0.07417,3.52,6.18,0.0,0.32,9.7,0.0,14.7,1.0,0.0
simulated_lunar_1,LRS25-,6,25.0,75.0,0.0,12.0,10.0,2.13486,0.16667,96.44444,27.68488,156.71266,7.21376,10.92472,5.18935,1.00088,0.49335,0.89912,0.70328,0.24453,3.52,6.18,0.0,0.32,0.0,0.0,0.2101,0.0471,0.98
simulated_lunar_2,LRS25-,6,25.0,75.0,0.0,0.0,10.0,1.09035,0.16667,93.54263,28.94735,156.08035,7.07796,26.4318,4.66411,1.35861,0.35515,0.7773,0.74646,0.28663,3.52,6.18,0.0,0.32,0.0,0.0,0.1867,0.0381,0.98
simulated_lunar_3,LRS25-,6,25.0,75.0,0.0,8.0,3.0,1.83935,0.16667,109.16669,31.36126,146.70854,6.73397,49.86974,10.43505,1.17926,0.3201,0.07586,0.65185,0.55086,3.52,6.18,0.0,0.32,0.0,0.0,5.0291,1.0,0.5078
simulated_lunar_4,LRS25-,6,25.0,75.0,0.0,4.0,7.0,1.51691,0.16667,102.45004,26.83513,158.70817,6.87504,23.15059,3.83913,1.07721,0.72855,0.4225,0.9029,0.24912,3.52,6.18,0.0,0.32,0.0,0.0,0.2754,0.0602,0.7597
simulated_lunar_5,LRS25-,6,25.0,75.0,0.0,16.0,7.0,0.99501,0.16667,98.78466,28.89488,150.85012,6.77128,41.11333,5.13141,1.0375,0.28567,0.65135,0.57618,0.35597,3.52,6.18,0.0,0.32,0.0328,0.0,0.2458,0.0366,0.8642
simulated_lunar_6,LRS25-,6,25.0,75.0,0.0,16.0,3.0,1.57701,0.16667,102.64405,26.64356,165.67078,7.11846,38.32411,6.75123,1.31351,0.64732,0.13296,0.96467,0.395,3.52,6.18,0.0,0.32,0.0621,0.0,0.2654,0.0338,0.5959
simulated_lunar_7,LRS25-,6,25.0,75.0,0.0,4.0,7.0,1.23032,0.16667,101.92222,29.5122,153.70367,6.99512,28.02061,5.71492,1.39135,0.92287,0.4225,1.0,0.3247,3.52,6.18,0.0,0.32,0.0,0.0,0.2248,0.0396,0.7991
observed_earth_simulant,LRS25-,7,25.0,75.0,0.0,12.0,0.5,0.02,1.0,112.56053,31.67124,186.48577,7.14924,0.0,1.08151,0.98743,0.30602,0.02298,0.0,0.07805,0.67,2.28,0.0,0.32,2.9499999999999997,0.0,16.3,1.0,0.0
simulated_lunar_1,LRS25-,7,25.0,75.0,0.0,4.0,14.0,1.37474,0.16667,103.69081,27.99537,143.60708,6.71479,28.01137,5.21922,1.39887,0.94317,0.98309,1.0,0.30952,0.67,2.28,0.0,0.32,0.0,0.0,0.3189,0.0605,0.98
simulated_lunar_2,LRS25-,7,25.0,75.0,0.0,12.0,3.0,1.69838,0.16667,94.06716,25.63937,159.66941,6.93876,27.00805,9.46901,1.48292,0.28804,0.10088,0.73498,0.43561,0.67,2.28,0.0,0.32,0.247,0.0,7.0964,1.0,0.5235
simulated_lunar_3,LRS25-,7,25.0,75.0,0.0,16.0,14.0,0.61537,0.16667,105.82525,28.8086,163.76573,6.9937,33.96956,4.53822,1.29286,0.60408,0.99331,0.91979,0.31105,0.67,2.28,0.0,0.32,0.0,0.0,0.3563,0.0563,0.98
simulated_lunar_4,LRS25-,7,25.0,75.0,0.0,0.0,7.0,2.12927,0.16667,101.48634,20.94611,181.57949,6.95604,48.86402,8.36929,1.17558,0.82136,0.34865,1.0,0.48397,0.67,2.28,0.0,0.32,0.0,0.0,0.2895,0.0541,0.7778
simulated_lunar_5,LRS25-,7,25.0,75.0,0.0,12.0,14.0,1.15878,0.16667,110.11207,23.37376,139.10103,7.17578,38.55733,4.6719,1.59083,0.4768,0.99087,0.94718,0.33234,0.67,2.28,0.0,0.32,0.0,0.0,0.1602,0.0262,0.98
simulated_lunar_6,LRS25-,7,25.0,75.0,0.0,12.0,10.0,1.9152,0.16667,99.78049,24.60256,179.45158,6.90074,16.89418,5.55864,1.12752,0.29795,0.89912,0.61678,0.2782,0.67,2.28,0.0,0.32,0.0,0.0,0.3142,0.0631,0.98
simulated_lunar_7,LRS25-,7,25.0,75.0,0.0,12.0,3.0,0.53605,0.16667,107.34852,29.52631,147.40273,7.47865,29.39973,6.40164,1.43771,0.29893,0.10088,0.72837,0.35085,0.67,2.28,0.0,0.32,0.8163,0.0,8.4996,1.0,0.5049
observed_earth_simulant,LRS25-,8,25.0,75.0,0.0,12.0,0.5,0.02,1.0,105.28654,31.24636,174.25403,7.13722,0.0,1.12715,1.05199,0.26888,0.02298,0.0,0.07944,2.61,5.87,0.0,0.25,8.48,0.0,16.2,1.0,0.0
simulated_lunar_1,LRS25-,8,25.0,75.0,0.0,4.0,14.0,1.54542,0.16667,97.39301,27.36601,151.16455,6.9905,32.39978,8.48539,1.45215,0.81283,0.98309,1.0,0.42578,2.61,5.87,0.0,0.25,0.0,0.0,4.9927,1.0,0.98
simulated_lunar_2,LRS25-,8,25.0,75.0,0.0,12.0,3.0,1.68845,0.16667,98.21957,29.58094,163.7437,7.05464,24.07945,5.99136,0.87717,0.29986,0.10088,0.52859,0.31837,2.61,5.87,0.0,0.25,2.0592,0.0,7.4208,1.0,0.4485
simulated_lunar_3,LRS25-,8,25.0,75.0,0.0,4.0,14.0,0.96726,0.16667,100.55684,32.34923,172.04521,6.84152,20.08639,5.99575,1.25372,0.29237,0.98309,0.65748,0.30353,2.61,5.87,0.0,0.25,0.0,0.0,0.1486,0.0281,0.98
simulated_lunar_4,LRS25-,8,25.0,75.0,0.0,0.0,7.0,1.35145,0.16667,94.84177,24.18037,147.85158,7.03045,8.16345,7.19147,0.95953,0.42624,0.34865,0.64104,0.29535,2.61,5.87,0.0,0.25,0.0,0.0,0.2024,0.0408,0.6504
simulated_lunar_5,LRS25-,8,25.0,75.0,0.0,4.0,14.0,1.03318,0.16667,98.13879,31.77045,180.1852,7.15586,42.46401,5.6434,1.10279,0.82923,0.98309,0.98886,0.37668,2.61,5.87,0.0,0.25,0.0,0.0,0.2841,0.0437,0.98
simulated_lunar_6,LRS25-,8,25.0,75.0,0.0,0.0,3.0,1.41599,0.16667,104.73238,29.58364,158.22414,7.40587,13.29968,4.18294,1.26345,0.73447,0.04209,1.0,0.22269,2.61,5.87,0.0,0.25,0.0,0.0,5.9294,1.0,0.5048
simulated_lunar_7,LRS25-,8,25.0,75.0,0.0,16.0,7.0,0.82719,0.16667,93.981,30.83869,163.81953,7.32278,15.67591,5.04873,0.94808,0.71079,0.65135,0.82181,0.25805,2.61,5.87,0.0,0.25,0.0418,0.0,0.3199,0.0559,0.906
observed_earth_simulant,LRS25+,1,25.0,75.0,1.0,12.0,0.5,0.02,1.0,119.33103,42.32973,210.65402,6.57259,0.0,1.09892,0.96407,0.33851,0.02298,0.0,0.07858,4.36,5.44,0.0,0.52,9.8,0.0,16.0,1.0,0.0
simulated_lunar_1,LRS25+,1,25.0,75.0,1.0,0.0,3.0,1.64501,0.16667,133.76005,38.96154,178.65225,7.02782,24.29397,6.1574,0.89364,0.32522,0.04209,0.55043,0.32425,4.36,5.44,0.0,0.52,0.1399,0.0,0.5547,0.0625,0.4128
simulated_lunar_2,LRS25+,1,25.0,75.0,1.0,0.0,10.0,1.8335,0.16667,121.09985,40.5796,181.81002,6.54008,42.90566,6.52616,1.03986,0.62516,0.7773,0.81141,0.40531,4.36,5.44,0.0,0.52,0.0,0.0,0.1222,0.0204,0.98
simulated_lunar_3,LRS25+,1,25.0,75.0,1.0,4.0,3.0,0.38367,0.16667,128.74892,40.96376,178.6819,6.60154,31.67797,8.2176,1.51202,0.84311,0.05665,1.0,0.41489,4.36,5.44,0.0,0.52,0.1371,0.0,0.518,0.0731,0.5538
simulated_lunar_4,LRS25+,1,25.0,75.0,1.0,12.0,10.0,0.81539,0.16667,128.32038,40.86218,159.64116,6.78947,40.11138,8.76242,1.61877,0.25169,0.89912,0.74896,0.46316,4.36,5.44,0.0,0.52,0.0,0.0,0.1291,0.0226,0.98
simulated_lunar_5,LRS25+,1,25.0,75.0,1.0,0.0,10.0,0.68128,0.16667,119.18623,37.14887,181.51374,6.63483,18.35512,3.54416,1.06065,0.77946,0.7773,0.92959,0.22213,4.36,5.44,0.0,0.52,0.0,0.0,0.3477,0.072,0.98
simulated_lunar_6,LRS25+,1,25.0,75.0,1.0,12.0,3.0,0.7427,0.16667,112.78467,44.21775,206.62493,6.45251,49.73809,5.52689,1.34407,0.27796,0.10088,0.67773,0.40039,4.36,5.44,0.0,0.52,4.732,0.0,9.7777,1.0,0.5021
simulated_lunar_7,LRS25+,1,25.0,75.0,1.0,4.0,10.0,0.47675,0.16667,111.02059,45.1332,173.34642,6.48668,26.55664,1.72877,1.52528,0.26368,0.82671,0.72812,0.19741,4.36,5.44,0.0,0.52,0.0,0.0,0.0613,0.0107,0.98
observed_earth_simulant,LRS25+,2,25.0,75.0,1.0,12.0,0.5,0.02,1.0,115.5262,42.55044,206.76655,6.82301,0.0,0.82162,1.09892,0.33212,0.02298,0.0,0.0701,5.06,7.24,0.27,0.5,12.3,4.0,17.0,1.0,0.0
simulated_lunar_1,LRS25+,2,25.0,75.0,1.0,8.0,10.0,1.16024,0.16667,123.47171,46.655,199.00025,7.05384,34.37494,6.09776,1.0265,0.29055,0.86704,0.57564,0.36023,5.06,7.24,0.27,0.5,0.0,0.0,0.406,0.0616,0.98
simulated_lunar_2,LRS25+,2,25.0,75.0,1.0,0.0,7.0,1.83443,0.16667,123.6644,37.93453,203.16594,6.68413,23.36163,6.20343,1.09503,0.73337,0.34865,0.91593,0.32216,5.06,7.24,0.27,0.5,0.0,0.0,5.6326,1.0,0.7244
